address,verdict,note
GEN.9.10,faithful,
GEN.14.10,faithful,
GEN.36.4,faithful,
GEN.42.15,faithful,
EXO.3.14,faithful,
EXO.8.26,faithful,
EXO.12.22,faithful,
EXO.12.40,faithful,
EXO.14.12,faithful,
EXO.27.3,faithful,
EXO.30.1,drifted,"the note is signed Ch. in English, Challoner, and C. in Portuguese, Calmet"
LEV.6.14,faithful,
LEV.7.29,faithful,
LEV.11.45,faithful,
LEV.18.2,faithful,
NUM.9.16,faithful,
NUM.10.10,drifted,"the lemma 'And on' became 'E assim por diante', which reads as et cetera rather than as the words being commented on"
NUM.14.22,faithful,
NUM.22.3,faithful,
DEU.9.21,faithful,
DEU.16.20,faithful,
DEU.17.15,faithful,
DEU.18.6,faithful,
DEU.22.14,faithful,
DEU.22.15,faithful,
DEU.33.24,faithful,
JOS.7.3,faithful,
JOS.8.30,faithful,
JOS.10.24,faithful,
JOS.18.7,faithful,
JOS.21.12,faithful,
JDG.3.10,faithful,
JDG.6.11,faithful,
JDG.7.17,faithful,
JDG.8.6,faithful,
JDG.9.28,faithful,
JDG.15.20,faithful,
JDG.20.18,faithful,
RUT.3.14,faithful,
1SA.14.3,faithful,
1SA.17.24,faithful,
1SA.25.25,faithful,
1SA.26.22,faithful,
2SA.11.8,faithful,
2SA.12.4,faithful,
2SA.21.16,faithful,
1KI.6.36,faithful,
2KI.3.1,faithful,
2KI.6.14,drifted,"an English article survived inside the Portuguese, 'do the exercito'"
2KI.6.18,faithful,
2KI.18.36,faithful,
2KI.21.11,faithful,
1CH.23.11,faithful,
2CH.15.6,faithful,
2CH.26.6,faithful,
2CH.33.16,faithful,
EZR.8.10,faithful,
NEH.4.10,faithful,
NEH.8.10,faithful,
NEH.13.16,faithful,
TOB.6.3,faithful,
JDT.1.9,faithful,
JDT.15.10,faithful,
1MA.9.4,faithful,
2MA.1.19,faithful,
2MA.5.2,faithful,
2MA.10.3,faithful,
JOB.30.23,faithful,
JOB.36.32,faithful,
JOB.37.23,faithful,
PSA.6.11,faithful,
PSA.9.1,faithful,
PSA.9.4,faithful,
PSA.12.2,faithful,
PSA.19.1,faithful,
PSA.33.15,faithful,
PSA.38.10,faithful,
PSA.39.1,faithful,
PSA.39.17,faithful,
PSA.55.9,faithful,
PSA.80.15,faithful,
PSA.83.6,faithful,
PSA.83.8,faithful,
PSA.88.30,faithful,
PSA.106.27,faithful,
PSA.113.17,faithful,
PSA.118.40,faithful,
PSA.118.137,faithful,
PSA.119.3,faithful,
PSA.137.4,faithful,
PSA.142.3,faithful,
PRO.10.21,faithful,
PRO.11.2,faithful,
PRO.19.7,faithful,
PRO.21.3,faithful,
ECC.2.9,faithful,
ECC.8.17,faithful,
ECC.12.12,faithful,
SNG.5.3,faithful,
SIR.3.30,faithful,
SIR.7.12,faithful,
SIR.10.2,faithful,
SIR.13.10,faithful,
SIR.19.1,faithful,
SIR.21.6,faithful,
SIR.21.23,faithful,
SIR.22.21,faithful,
SIR.25.24,faithful,
SIR.27.25,faithful,
SIR.31.11,faithful,
SIR.38.15,faithful,
SIR.48.27,faithful,
ISA.10.17,faithful,
ISA.26.16,faithful,
ISA.35.6,faithful,
ISA.39.1,faithful,
ISA.52.11,faithful,
ISA.57.8,faithful,
JER.2.24,faithful,
JER.2.31,faithful,
JER.7.7,faithful,
JER.7.18,faithful,
JER.7.32,faithful,
JER.9.5,wrong,"'they have not left off, in order to be converted' became 'nao deixaram de converter-se', which says they never stopped converting"
JER.11.23,faithful,
JER.14.3,faithful,
JER.15.6,faithful,
JER.18.4,faithful,
JER.25.20,faithful,
JER.27.18,faithful,
JER.30.8,faithful,
JER.36.4,faithful,
JER.39.9,faithful,
JER.40.14,faithful,
JER.43.8,faithful,
JER.46.9,faithful,
EZK.1.8,faithful,
EZK.4.14,faithful,
EZK.7.19,faithful,
EZK.12.3,faithful,
EZK.12.10,faithful,
EZK.13.5,faithful,
EZK.17.20,faithful,
EZK.19.3,faithful,
EZK.33.25,faithful,
EZK.34.5,faithful,
EZK.35.6,faithful,
EZK.42.4,faithful,
DAN.3.20,faithful,
DAN.4.5,faithful,
DAN.12.2,faithful,
HOS.7.11,faithful,
JOL.3.2,faithful,
AMO.3.4,faithful,
AMO.5.18,faithful,
AMO.5.26,faithful,
AMO.9.3,faithful,
MIC.2.3,faithful,
MIC.3.12,faithful,
MIC.5.11,faithful,
MIC.7.1,faithful,
NAM.1.13,faithful,
HAB.1.2,faithful,
ZEC.9.15,faithful,
ZEC.14.2,faithful,
MAT.4.13,faithful,
MAT.9.22,faithful,
MAT.12.2,faithful,
MAT.13.8,faithful,
MAT.17.6,faithful,
MAT.23.38,faithful,
MAT.26.19,faithful,
MAT.27.44,faithful,
MRK.12.2,faithful,
MRK.14.25,faithful,
LUK.4.43,faithful,
LUK.6.13,faithful,
LUK.7.22,faithful,
LUK.11.29,faithful,
LUK.19.42,wrong,"'though determined on his destruction' became 'ainda que resolvido a destrui-la', which makes Christ the destroyer instead of Jerusalem"
ACT.3.20,faithful,
ACT.6.3,faithful,
ACT.9.35,faithful,
ACT.13.24,faithful,
ROM.6.7,faithful,
ROM.8.19,faithful,
ROM.10.2,faithful,
ROM.11.6,faithful,
1CO.1.1,faithful,
1CO.1.18,faithful,
1CO.11.10,faithful,
2CO.8.10,faithful,
GAL.6.8,faithful,
2TH.2.7,faithful,
2TI.2.20,faithful,
TIT.1.12,faithful,
HEB.9.5,faithful,
REV.5.10,faithful,
REV.8.1,faithful,
REV.21.9,faithful,
