address,label,english,portuguese,verdict,note
GEN.9.10,10,"<em>Soul … in birds</em>, &c. The covenant of God is made with animals, only in as much as they are subservient to man. D.—The Egyptians adored most of them; and many oriental nations, and even philosophers, pretended they had intelligent souls, and could speak a rational language, which some of them would have the people believe they could understand. C.—This was the case of those great impostors Apollonius of Tyena, Mahomet, &c. H.—Moses shews sufficiently that beasts were neither divinities nor rational. C.","<em>Alma… nas aves</em>, &c. A aliança de Deus com os animais existe apenas enquanto eles estão a serviço do homem. D.—Os egípcios adoravam a maioria deles; e muitas nações orientais, e até filósofos, pretendiam que possuíam almas inteligentes e podiam falar uma linguagem racional, que alguns deles queriam fazer o povo crer que eram capazes de entender. C.—Este foi o caso dos grandes impostores Apolônio de Tiana, Maomé, &c. H.—Moisés mostra suficientemente que as bestas não eram nem divindades nem seres racionais. C.",,
GEN.14.10,10,"<em>Of slime. Bituminis.</em> This was a kind of pitch, which served for mortar in the building of Babel, Gen. 11:3 and was used by Noe in pitching the ark. Ch.—Moses does not make this remark without reason. This bitumen would easily take fire, and contribute to the conflagration of Sodom. C.—<em>Overthrown</em>, not all slain, for the king of Sodom escaped. v. 17.","<em>De betume. Bituminis.</em> Era uma espécie de piche, que serviu de argamassa na construção de Babel, Gên. 11:3, e foi usado por Noé para calafetar a arca. Ch.—Moisés não faz esta observação sem motivo. Este betume facilmente pegaria fogo e contribuiria para a conflagração de Sodoma. C.—<em>Derrotados</em>, não todos mortos, pois o rei de Sodoma escapou. v. 17.",,
GEN.36.4,4,"<em>Eliphaz;</em> perphas the Themanite, and friend of Job, (S. Jer.) or his grandfather, by Theman; as Job was the grandson of Esau, and the second king, v. 33. T.","<em>Elifaz;</em> talvez o Temanita e amigo de Jó (S. Jer.), ou seu avô, por Temã; uma vez que Jó era neto de Esaú e o segundo rei, v. 33. T.",,
GEN.42.15,15,"<em>Health.</em> This oath implies, that he is willing that even Pharao, whom he so much revered, should perish, if he did not execute what he said: ( H.) or, as Pharao is now in health, so true it is you should not <em>all</em> depart, till your youngest brother come. C.","<em>Saúde.</em> Este juramento implica que está disposto a que até o próprio Faraó, a quem tanto reverenciava, pereça, se não cumprir o que disse: ( H.) ou, assim como o Faraó está agora com saúde, assim é verdade que não partireis <em>todos</em> até que vosso irmão mais novo venha. C.",,
EXO.3.14,14,"<em>I am who am.</em> That is, I am <em>being</em> itself, eternal, self-existent, independent, infinite; without beginning, end, or change; and the source of all other beings. Ch.—Heb. agrees with the Vulg. though it seems to read <em>aeje</em>, “I shall be,” &c. A. Lapide, &c.—No name can fully explain the divine perfections. As God is alone, he stands in need of no distinctive appellation, as Lactantius, and even the pagans have confessed. Orig. c. Cels. vi. C.—All other beings are just nothing, compared with God. He alone is self-existent and infinitely perfect. W.","<em>Eu sou o que sou.</em> Isto é, eu sou o <em>ser</em> em si mesmo, eterno, autoexistente, independente, infinito; sem princípio, fim ou mudança; e a fonte de todos os demais seres. Ch.—O Heb. concorda com a Vulg., embora pareça ler <em>aeje</em>, ""eu serei,"" &c. A. Lapide, &c.—Nenhum nome pode explicar plenamente as perfeições divinas. Como Deus é único, não precisa de denominação distintiva, como Lactâncio e até os pagãos reconheceram. Orig. c. Cels. vi. C.—Todos os demais seres são simplesmente nada, comparados a Deus. Somente Ele é autoexistente e infinitamente perfeito. W.",,
EXO.8.26,26,"<em>The abominations</em>, &c. That is, the things they worship for gods: oxen, rams, &c. It is the usual style of the Scriptures to call all idols and false gods, <em>abominations;</em> to signify how much the people of God ought to detest and abhor them. Ch.—The Egyptians adored the stars, and even the vilest creatures, on account of some advantage which they derived from them. Cicero, N. Deor. i. They sometimes sacrificed animals; though, at first, “they offered only prayer and incense.” Macrob. Satur. i. 7. Gen. 43:16. Their belief in the transmigration of souls, perhaps, induced them to abstain from the immolation of beasts. C.","<em>As abominações</em>, &c. Isto é, as coisas que adoram como deuses: bois, carneiros, &c. É o estilo habitual das Escrituras chamar todos os ídolos e falsos deuses de <em>abominações</em>; para significar o quanto o povo de Deus deve detestá-los e abominá-los. Ch.—Os egípcios adoravam as estrelas, e até as criaturas mais vis, por causa de alguma vantagem que delas obtinham. Cícero, N. Deor. i. Às vezes sacrificavam animais; embora, no início, ""oferecessem apenas oração e incenso."" Macrob. Satur. i. 7. Gên. 43:16. A crença na transmigração das almas, talvez, os induzia a abster-se da imolação de animais. C.",,
EXO.12.22,22,"<em>Hyssop;</em> Heb. <em>ezob:</em> which some translate rosemary. M.—<em>Sprinkle</em>, &c. This sprinkling the doors of the Israelites with the blood of the paschal lamb, in order to their being delivered from the sword of the destroying angel, was a lively figure of our redemption by the blood of Christ. Ch.—S. Jerom, in Is. lxvi. says the doors were to be sprinkled in the form of a cross.","<em>Hissopo;</em> Heb. <em>ezob:</em> que alguns traduzem por alecrim. M.—<em>Asperge</em>, &c. Esta aspersão das portas dos israelitas com o sangue do cordeiro pascal, a fim de que fossem livrados da espada do anjo destruidor, foi uma viva figura de nossa redenção pelo sangue de Cristo. Ch.—S. Jerônimo, no Is. lxvi., diz que as portas deviam ser aspergidas em forma de cruz.",,
EXO.12.40,40,"<em>Egypt.</em> Sam. and Sept. add, “and in the land of Chanaan, they and their fathers,” dating from the departure of Abraham from Haran in his 75th year; from which period, till Jacob’s going into Egypt, 215 years elapsed. Kennicott produces this instance, as a proof that the Hebrew text is defective: Dis. 1. p. 399. Josephus ii. 15. S. Aug. q. 47. and others, admit this addition as genuine; which, however we have observed on Genesis, is rejected by Ayrolus, Tournemine, &c. H.","<em>Egito.</em> Sam. e Sept. acrescentam: ""e na terra de Canaã, eles e seus pais"", contando a partir da partida de Abraão de Harã aos 75 anos; desse período até a ida de Jacó ao Egito transcorreram 215 anos. Kennicott apresenta este exemplo como prova de que o texto hebraico está deficiente: Dis. 1. p. 399. Josefo ii. 15. S. Agost. q. 47. e outros admitem este acréscimo como genuíno; o qual, no entanto, como observamos no Gênesis, é rejeitado por Ayrolus, Tournemine, &c. H.
[[[REVIEW:exegese_datada|A passagem apresenta como fato assentado a deficiência do texto hebraico, questão que a exegese moderna trata com maior cautela crítica.]]
[[[ID:895]]]
<em>Memorável</em>, em que o Senhor foi nosso sentinela e guardador. Vatab.",,
EXO.14.12,12,"<em>Wilderness.</em> This is the language of dastardly souls. They had begun to be almost in love with their chains. Every difficulty gives them occasion to repine at the gracious purposes of God, and the exertions of his servant Moses. But God bears patiently with the defects of a carnal and long-oppressed nation. H. v. 13.—The wiser sort pray to God, while others thus upbraid Moses.","<em>Deserto.</em> Esta é a linguagem de almas covardes. Tinham começado a quase se apegar às suas correntes. Toda dificuldade lhes dá ocasião de murmurar contra os graciosos desígnios de Deus e os esforços do seu servo Moisés. Mas Deus suporta pacientemente as fraquezas de um povo carnal e por longo tempo oprimido. H. v. 13.—Os mais sábios oram a Deus, enquanto outros assim censuram Moisés.",,
EXO.27.3,3,"<em>Pans</em>, &c. The Sept. have, “a crown <em>or</em> border, for the altar, and its covering, and its cups, and flesh-hooks, and fire-place, <em>or</em> pan.” Heb. also has five terms; which Calmet renders: 1. a small kettle to receive the ashes under the grate; 2. fire-shovels; 3. bowls to receive blood (<em>mozrokoth</em>, which term the Vulg. does not perhaps notice); 4. flesh-hooks; 5. chafing-dishes. The Protestant version has also the basins or broad cups, <em>phialas</em>, of the Sept. H.","<em>Panelas</em>, etc. A Sept. tem: ""uma coroa <em>ou</em> borda, para o altar, e sua cobertura, e seus cálices, e garfos para carne, e fogareiro, <em>ou</em> panela."" O Heb. também tem cinco termos; que Calmet traduz: 1. um pequeno caldeirão para receber as cinzas sob a grelha; 2. pás para fogo; 3. bacias para receber o sangue (<em>mozrokoth</em>, termo que a Vulg. talvez não mencione); 4. garfos para carne; 5. fogareiros. A versão protestante tem também as bacias ou cálices largos, <em>phialas</em>, da Sept. H.",,
EXO.30.1,1,"<em>An altar to burn incense.</em> This burning of incense was an emblem of prayer, ascending to God from an inflamed heart. See Ps. 140:2. Apoc. 5:8 and 8:4. Ch.—Nothing but incense was daily offered by the high priest upon this altar. On the day of expiation he touched the four corners with blood. It stood over-against the bread of proposition.","<em>Um altar para queimar incenso.</em> Esse queimar de incenso era emblema da oração que sobe a Deus de um coração inflamado. Veja Sl. 140:2. Apoc. 5:8 e 8:4. C.—Nada além de incenso era oferecido diariamente pelo sumo sacerdote sobre este altar. No dia da expiação, ele tocava os quatro cantos com sangue. Estava posto em frente ao pão da proposição.",,
LEV.6.14,14,"<em>Sacrifice</em> of flour, <em>monee.</em> C. 2:1.—<em>And libations.</em> These words are added, to shew that oil and wine accompanied this sacrifice.","<em>Sacrifício</em> de farinha, <em>monee.</em> C. 2:1.—<em>E libações.</em> Estas palavras são acrescentadas para mostrar que óleo e vinho acompanhavam este sacrifício.",,
LEV.7.29,29,"<em>Sacrifice</em> … Libations, flour, wine, and oil. Lyran.","<em>Sacrifício</em> … Libações, farinha, vinho e azeite. Lyran.",,
LEV.11.45,45,"<em>Your God.</em> By these laws, the Jews were to be distinguished from other nations. H.—They were also to be reminded, that God was very jealous of their interior sanctity, since he required so great a legal purity. Without the former, they might easily conclude that the latter would not please him. C.","<em>Vosso Deus.</em> Por meio dessas leis, os judeus deveriam distinguir-se das demais nações. H.—Deveriam também ser lembrados de que Deus era muito zeloso da santidade interior deles, uma vez que exigia tão grande pureza legal. Sem a primeira, poderiam facilmente concluir que a segunda não lhe seria agradável. C.",,
LEV.18.2,2,"<em>God</em>, to whom the right of giving laws belongs. D.","<em>Deus</em>, a quem pertence o direito de dar leis. D.",,
NUM.9.16,16,<em>By day.</em> These words are omitted in the Heb.; but the context shews that they must necessarily be supplied; as they are in the Sept. The same cloud assumed different appearances. C.,<em>De dia.</em> Estas palavras são omitidas no Hebr.; mas o contexto mostra que devem necessariamente ser supridas; como o são na Sept. A mesma nuvem assumia aparências diferentes. C.,,
